"","lav1","lav2","lav3","lav4","lav5","lav6","høj1","høj2","høj3","høj4","høj5","høj6"
"207",10,18,28,182,347,309,15,24,55,1367,39610,1466
"208",15,17,26,1586,957,93,21,28,78,3050,1495,3534
"209",13,20,29,640,328,419,14,34,76,1863,2471,2783
"210",7,16,35,519,395,114,16,31,58,1601,10208,1029
"211",10,20,52,357,390,2096,17,28,63,1755,2875,853
"212",9,13,31,188,342,444,14,32,50,642,3428,737
"213",10,15,32,607,536,1559,13,20,66,4531,9407,2999
"214",12,14,33,1165,3656,1370,14,25,58,1057,3560,994
"215",12,26,31,104,885,157,12,23,61,3401,1689,2492
"216",10,23,56,278,1347,244,14,34,56,1646,2062,2591
"217",11,15,23,223,10384,305,14,20,53,1107,1422,2193
"218",9,21,33,309,1014,583,12,23,68,1204,20241,1873
"219",10,14,28,299,72,225,17,29,78,621,3539,1983
"220",11,16,31,298,1918,878,14,24,65,1500,3830,1730
"221",13,14,46,258,237,4101,14,29,55,2110,3135,3380
"222",9,16,23,646,636,115,15,25,63,2117,32505,767
"223",10,13,44,285,5286,433,14,23,69,1693,1184,1010
"224",10,15,34,473,168,395,16,22,57,3203,5505,708
"225",8,19,27,284,284,1015,17,28,63,1089,179947,1584
"226",11,27,65,522,360,94,16,24,68,1267,3159,966
"227",7,20,53,186,1487,246,14,24,65,1892,3891,1186
"228",15,10,38,333,749,480,14,28,46,745,2269,2827
"229",11,22,30,123,222,268,11,18,70,910,6093,1411
"230",9,20,62,497,550,422,12,24,45,885,1662,1671
"231",11,19,53,1338,505,230,11,25,53,4541,3403,1373
"232",11,16,41,147,185,1301,11,28,58,1690,8974,694
"233",11,16,28,1176,1019,173,12,31,96,1190,2511,1721
"234",8,14,40,465,1891,112,15,23,94,4292,109746,1641
"235",12,14,26,40,304,397,15,21,57,1042,4071,1458
"236",9,14,38,1066,151,248,17,20,52,2853,846,1009
"237",15,30,36,1109,601,550,17,24,65,3899,788,1393
"238",9,11,40,340,165,1200,15,23,84,448,29206,1425
"239",10,14,45,1067,62,162,13,24,72,1373,8323,4291
"240",9,13,34,381,1324,564,11,33,59,1881,13868,1312
"241",7,14,30,451,77,4949,13,33,61,1684,5512,2213
"242",11,15,31,676,3350,159,18,22,71,593,7425,2079
"243",10,14,42,249,372,766,13,32,85,2110,19185,3321
"244",15,14,29,68,829,419,14,20,59,1351,24988,2732
"245",12,16,35,627,2224,796,14,29,74,2012,69617,1089
"246",7,17,63,131,120,108,13,18,47,825,1121,3221
"247",11,11,25,256,3364,97,16,28,69,3714,1079,2828
"248",10,15,44,477,151,403,14,28,70,2278,1477,1942
"249",7,17,36,428,139,129,16,21,74,1971,4693,2941
"250",20,18,63,224,2540,416,11,21,46,1255,10158,779
"251",9,19,50,465,533,559,16,25,64,739,91735,3128
"252",9,14,26,1456,202,707,17,21,57,1524,3003,2955
"253",11,23,56,357,3792,1765,12,21,57,1063,1768,758
"254",9,15,30,570,16093,363,13,37,98,4510,2974,2401
"255",8,16,28,374,690,560,12,21,41,3228,5434,2346
"256",10,14,28,403,5884,1821,19,22,49,2212,6718,1796
"257",10,19,31,461,90,986,19,22,51,2247,2380,1809
"258",9,21,36,287,366,157,14,21,89,1631,17979,2794
"259",10,12,49,646,113,2329,13,23,39,1588,4619,589
"260",9,14,33,236,4601,1177,13,21,56,1399,1051,2015
"261",7,16,56,123,59,50,15,19,56,1133,2071,2372
"262",14,14,35,198,11276,685,13,30,58,1890,2890,2404
"263",10,17,56,668,731,1023,16,22,93,687,4780,1162
"264",11,13,42,2267,3151,396,13,22,55,1590,4385,1850
"265",11,13,48,552,565,202,17,25,51,5368,292302,1456
"266",6,20,57,126,2686,120,16,25,60,1686,3250,2712
"267",11,12,31,473,139,234,13,23,53,1871,4327,1224
"268",15,22,31,588,754,899,20,28,50,3285,9432,2319
"269",14,14,29,1086,1220,633,18,21,55,2551,178933,698
"270",12,15,33,271,1479,577,15,22,58,2091,6433,600
"271",9,14,37,1289,412,585,15,27,80,831,783,869
"272",10,12,45,501,426,140,13,27,47,1795,8829,2500
"273",10,16,34,1325,7349,325,12,22,74,1326,1932,1650
"274",17,13,30,641,86,299,12,28,52,5536,54292,2348
"275",13,15,37,383,944,695,16,16,47,2177,810,1449
"276",9,14,36,181,140,82,14,28,42,1856,1522,807
"277",7,12,33,351,2196,1506,18,22,57,1169,10834,3049
"278",7,12,38,97,801,356,13,40,54,2274,609,2536
"279",11,13,31,77,122,261,21,25,48,3035,4984,949
"280",9,13,19,168,105,366,12,23,61,1532,2682,4844
"281",10,11,29,405,338,392,14,24,61,901,6053,1139
"282",9,16,33,71,167,757,15,21,108,1068,16253,1606
"283",12,16,29,555,157,137,15,26,53,3058,63232,1025
"284",9,14,32,146,337,494,19,27,54,1740,4943,3431
"285",7,16,56,278,259,587,16,26,53,2614,6713,1245
"286",9,15,31,355,146,198,14,19,85,1640,5592,1404
"287",12,15,31,739,555,1574,16,28,61,1154,5623,706
"288",16,17,20,435,1567,121,14,28,55,2485,7351,2217
"289",10,14,32,356,652,298,12,28,90,2392,4103,2306
"290",11,20,43,302,622,553,15,22,79,1840,2827,1748
"291",10,21,45,272,222,183,14,20,54,1698,22273,2395
"292",12,18,30,258,14571,1303,19,20,64,601,3123,1186
"293",9,13,38,726,747,628,19,23,54,1899,15760,1359
"294",11,13,29,146,220,234,14,30,58,1860,2081,1511
"295",7,17,45,235,728,71,13,21,75,3164,2813,1910
"296",9,13,41,759,689,963,12,24,56,3580,1500,2191
"297",10,16,38,199,426,759,13,19,62,2378,1208,3693
"298",9,22,23,595,530,973,17,22,69,969,1132,1930
"299",9,14,32,677,6079,920,14,26,60,1485,3309,1388
"300",9,11,47,471,1603,145,16,27,49,2445,330871,1147
"301",9,15,26,125,1032,1944,13,25,62,864,333815,1548
"302",13,32,37,751,1151,395,12,28,66,881,2525,3730
"303",15,17,29,233,3748,204,16,20,73,1205,53970,599
"304",12,17,37,765,317,296,18,21,75,1368,1365,564
"305",12,12,26,1816,378,708,14,23,53,4008,17527,2387
"306",15,12,29,543,495,132,14,34,84,1679,6724,770
"307",9,18,24,298,734,1356,15,26,47,2522,105053,1387
"308",9,21,51,387,1199,470,11,29,49,1783,1035,1530
"309",8,16,45,300,701,406,16,24,92,7878,3947,1739
"310",14,15,38,738,11935,258,13,19,39,1790,7577,861
"311",9,19,30,258,1981,198,13,34,65,1756,4245,1690
"312",11,12,30,210,179,688,21,20,64,2120,1137,1688
"313",11,23,36,130,104,453,13,34,56,1145,9627,746
"314",9,21,41,299,178,198,18,22,51,1620,59178,2190
"315",8,12,43,1966,149,192,12,18,63,1731,1236,558
"316",10,12,24,122,1678,223,13,28,65,1180,45487,3187
"317",14,17,58,441,929,1119,17,19,68,694,3094,913
"318",10,14,27,59,151,143,16,24,45,1031,6821,878
"319",8,18,33,258,514,1058,15,22,60,2958,4366,2867
"320",11,16,39,119,354,2166,15,30,58,1042,5037,1169
"321",9,21,25,170,238,577,14,18,68,979,5830,2310
"322",18,14,19,1796,355,337,14,24,92,1065,2039,2942
"323",11,30,39,122,333,517,17,21,89,916,21093,3938
"324",9,20,26,202,79,106,22,23,54,1355,2843,1295
"325",10,16,26,102,574,512,14,22,71,2319,8187,2315
"326",12,17,32,223,405,670,13,20,44,808,1919,1517
"327",17,29,53,249,158,323,13,25,38,3235,133415,1328
"328",11,15,23,1794,906,193,15,22,107,908,7678,1083
"329",12,12,62,85,2090,663,15,25,93,1244,1422,808
"330",11,17,32,238,1013,463,14,21,51,3675,40864,3935
"331",12,18,38,1629,582,781,19,22,51,1986,1219,1188
"332",10,17,37,367,822,95,14,24,49,1635,6954,1778
"333",12,17,42,320,135,992,14,26,71,1475,16634,1249
"334",11,16,34,296,2036,325,17,30,49,3594,12309,2710
"335",12,21,40,382,2019,270,13,18,55,2150,1343,926
"336",9,28,33,248,614,141,18,24,67,835,2006,1123
"337",13,26,25,1339,1401,196,22,26,64,1599,1652,673
"338",11,16,33,232,1373,165,14,30,70,2408,51108,3894
"339",9,16,26,581,2120,250,15,21,50,1090,5588,968
"340",9,14,43,156,297,1023,13,21,78,1780,2443,2091
"341",13,17,42,134,940,358,14,44,45,1461,13422,1746
"342",7,13,20,212,1786,204,12,25,52,1340,20461,2128
"343",7,23,39,189,240,286,13,27,55,2315,6003,1676
